sep=;
"ID Cita";Cliente;Estado;Sede;Horario;"Fecha de Reserva";Descripción;"Fecha Creación";"Tipo Documento";"Documento Cliente";"Teléfono Cliente";"Email Cliente";"Estado Liquidador";"Tipo Servicio";Costo;"Comentario Liquidador";"Seguimiento cita";"Placa Vehiculo";"Tipo Vehiculo";"Modelo Vehiculo";"Creado Por";Origen;"Url Variables";"Tipo dispositivo"
12;"migueltest2 manriquetest2";Agendado;Test;"12:10 am - 01:29 pm";"2025-04-10 00:00:00";"Creada por el cliente";"2025-04-03 08:50:14";CC;6464654654653;"	+576416464";migueltest;Pendiente;;;;;;;;;Desconocido;[];Desktop
13;"migueltest2 manriquetest2";"Asistido Sede";Test;"12:10 am - 01:29 pm";"2025-04-10 00:00:00";test;"2025-04-03 08:52:55";CC;6464654654653;"	+576416464";migueltest;Pendiente;;;;;;;;;"Curso Comparendo";;Desktop
9;"Miguel Test Manrique Test";"No Asistió";Test;"12:38 pm - 03:38 pm";"2025-04-10 00:00:00";TEST;"2025-04-03 08:33:05";CC;10101165161;"	310146416";test;Pendiente;;;;;;;;;"Curso Comparendo";;Desktop
10;"Miguel Test Manrique Test";Errado;Test;"12:38 pm - 03:38 pm";"2025-04-10 00:00:00";test;"2025-04-03 08:45:37";CC;10101165161;"	310146416";test;Pendiente;;;;;;;;;"Curso Comparendo";;Desktop
14;"miguel Test 3 Manrique Test 3";Agendado;Test;"12:38 pm - 03:38 pm";"2025-04-10 00:00:00";"Creada por el cliente";"2025-04-03 08:57:56";CC;654631634;"	+576316464";migueltest3;Pendiente;;;;;;;;;Desconocido;[];Desktop
15;"miguel Test 3 Manrique Test 3";Agendado;Test;"12:38 pm - 03:38 pm";"2025-04-10 00:00:00";"Creada por el cliente";"2025-04-03 08:58:17";CC;654631634;"	+576316464";migueltest3;Pendiente;;;;;;;;;Desconocido;[];Desktop
16;"miguel Test 3 Manrique Test 3";Agendado;Test;"12:38 pm - 03:38 pm";"2025-04-10 00:00:00";"Creada por el cliente";"2025-04-03 09:04:43";CC;654631634;"	+576316464";migueltest3;Pendiente;;;;;;;;;Desconocido;[];Desktop
19;"Miguel Test Miguel Test";Agendado;Test;"10:38 pm - 12:38 pm";"2025-04-11 00:00:00";"Creada por el cliente";"2025-04-04 11:30:50";CC;160658464;"	+573154003106";miguel070999@hotmail.com;Pendiente;;;;;DSG640;Automóvil;0000;DSG640;Desconocido;[];Desktop
20;"Miguel Test Miguel Test";Asistió;Test;"10:38 pm - 12:38 pm";"2025-04-11 00:00:00";test;"2025-04-04 11:32:20";CC;1000000000000;"	65464";migueltest;Pendiente;;;;;FD324F;Motocicleta;0000;FD324F;"Curso Comparendo";;Desktop
18;"Miguel Test Miguel Test";Cancelo;Test;"12:38 pm - 03:38 pm";"2025-04-11 00:00:00";test;"2025-04-04 11:07:48";CC;1000000000000;"	65464";migueltest;Pendiente;"1 comparendo";12800;;;FD324F;Motocicleta;0000;FD324F;"Curso Comparendo";;Desktop
21;"Miguel Test Manrique Test";Agendado;Test;"10:38 pm - 12:38 pm";"2025-04-17 00:00:00";"Creada por el cliente";"2025-04-10 17:31:16";CC;3546879879;"	+573154003106";test@test;Pendiente;"1 comparendo";12800;;"Test - test";REEFRFEF;Motocicleta;0000;REEFRFEF;Desconocido;[];Desktop
23;"Miguel Test Manrique Test";Agendado;Test;"10:38 pm - 12:38 pm";"2025-04-17 00:00:00";werwwr;"2025-04-10 18:44:10";CC;10101165161;"	310146416";test;Pendiente;;;;;;;;;"Curso Comparendo";;Desktop
24;"test test";Agendado;Test;"12:38 pm - 03:38 pm";"2025-04-17 00:00:00";"Creada por el cliente";"2025-04-10 18:44:52";CC;423423424;"	+574234234223";test@test;Pendiente;"3 comparendos";38400;;;324234FWWE;Motocicleta;0000;324234FWWE;Desconocido;[];Desktop
25;"Miguel Test Miguel Test";Asistió;Test;"12:38 pm - 03:38 pm";"2025-04-17 00:00:00";test;"2025-04-10 18:57:07";CC;1000000000000;"	65464";migueltest;Pendiente;"1 comparendo";12800;;;FD324F;Motocicleta;0000;FD324F;"Curso Comparendo";;Desktop
28;"Miguel Test Miguel Test";Agendado;Test;"12:10 am - 01:29 pm";"2025-04-18 00:00:00";sffsefwe;"2025-04-11 04:04:12";CC;1000000000000;"	65464";migueltest;Pendiente;"2 comparendos";25600;;;FD324F;Motocicleta;0000;FD324F;"Curso Comparendo";;Desktop
29;"Miguel Test Miguel Test";Agendado;Test;"12:10 am - 01:29 pm";"2025-04-18 00:00:00";sffsefwe;"2025-04-11 04:04:15";CC;1000000000000;"	65464";migueltest;Pendiente;"2 comparendos";25600;;;FD324F;Motocicleta;0000;FD324F;"Curso Comparendo";;Desktop
30;"Miguel Test 100 Manrique Test 100";"Confirma cita";Test;"12:10 am - 01:29 pm";"2025-04-18 00:00:00";fwefwfwef;"2025-04-11 04:04:52";CC;1651611151;"	+5731566161166";migueltest100@test.com;Pendiente;"1 comparendo";12800;;;;;;;"Curso Comparendo";;Desktop
26;"Miguel Test Miguel Test";Agendado;Test;"12:38 pm - 03:38 pm";"2025-04-18 00:00:00";test;"2025-04-11 04:01:43";CC;1000000000000;"	65464";migueltest;Pendiente;;;;;FD324F;Motocicleta;0000;FD324F;"Curso Comparendo";;Desktop
27;"Miguel Test Miguel Test";Agendado;Test;"12:38 pm - 03:38 pm";"2025-04-18 00:00:00";test;"2025-04-11 04:01:46";CC;1000000000000;"	65464";migueltest;Pendiente;;;;;FD324F;Motocicleta;0000;FD324F;"Curso Comparendo";;Desktop
31;"Test de agendamiento Load";Agendado;Test;"10:38 pm - 12:38 pm";"2025-04-21 00:00:00";"Creada por el cliente";"2025-04-14 14:36:56";CC;684446464;"	+573154003106";test@test;Pendiente;"1 comparendo";12800;;;EQWDQ;Automotor;0000;EQWDQ;Desconocido;[];Desktop
32;"Miguel Test Manrique Test";Cancelo;Test;"12:38 pm - 03:38 pm";"2025-04-21 00:00:00";test;"2025-04-14 18:17:56";CC;1018513219;"	+573154003106";miguel070999@hotmail.com;Pendiente;"1 comparendo";12800;;;;;;;"Curso Comparendo";;Desktop
33;"Miguel Test Miguel Test";Agendado;Test;"12:38 pm - 03:38 pm";"2025-04-21 00:00:00";test;"2025-04-14 18:39:53";CC;1000000000000;"	65464";migueltest;Pendiente;;;;;FD324F;Motocicleta;0000;FD324F;"Curso Comparendo";;Desktop
22;"Miguel Test 10 Manrique Test 11";"Asistido Sede";Test;"12:10 am - 01:29 pm";"2025-04-24 00:00:00";"Creada por el cliente";"2025-04-10 18:13:14";CC;646514;"	+573654646434";test@test;Pendiente;"3 comparendos";38400;;"Llamada 1 - testtt|Llamada 2 - Test 2";FW34F435;Motocicleta;0000;FW34F435;Desconocido;[];Desktop
